feature,importance
word_count,0.016421397148517064
avg_sentence_length,0.012224412670895052
transcript_length,0.011728280913019874
lexical_density,0.01170670765210791
flesch_reading_ease,0.0116814824471645
unique_word_ratio,0.008617241103449838
automated_readability_index,0.008353477126666866
sentiment_polarity,0.00619596530232609
v_cnn_274,0.005359849200203181
number_count,0.005138899169813849
sentiment_intensity,0.005130134141900657
v_cnn_600,0.00479522645300491
v_cnn_1457,0.004536754891070186
v_cnn_1148,0.0044003871933316775
stopword_ratio,0.004338727590920059
v_cnn_839,0.004043430145519397
v_cnn_633,0.0040266115665062
v_cnn_1531,0.0036148826802140832
v_cnn_578,0.0034869813103855073
sent_emb_201,0.003403702024812461
v_cnn_1935,0.0033693354855965155
v_cnn_1793,0.0033123795097906765
v_cnn_211,0.0032593239206361356
v_cnn_1187,0.003086864361574902
v_cnn_739,0.003057181357950929
v_cnn_679,0.0030495081634031866
v_cnn_1167,0.002943267607144551
v_cnn_860,0.0028811812101726657
sent_emb_334,0.0028356421655266087
v_cnn_1991,0.0027925987118462086
sent_emb_210,0.0027546634848813006
v_cnn_1029,0.00267645300155927
sent_emb_346,0.002640933969271096
v_cnn_153,0.002593002828699719
v_cnn_186,0.002562793234862725
v_cnn_1627,0.0024976687424143654
v_cnn_1893,0.002446294279492497
v_cnn_1725,0.0024200384377828714
v_cnn_380,0.002343545394951298
v_cnn_1948,0.002320204033526192
sent_emb_228,0.0022383741149499575
v_cnn_662,0.002234378214599544
v_cnn_956,0.002184585290336228
v_cnn_1565,0.0021709502910401282
v_cnn_1109,0.0021335640646599056
sent_emb_196,0.002116654829724186
sent_emb_378,0.0021072324528630206
sent_emb_120,0.002094729955882851
v_cnn_1367,0.0020628910600103446
v_cnn_1255,0.0019884418421778406
